id,name,elevation,latitude_dms,longitude_dms,latitude_dd,longitude_dd,cities_id,cod_mapa
1,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRASILIA/DF,1159.54,15°47'S,47°55'W,,,882,
2,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AGUAS EMENDADAS/GO,1200.00,15°35'S,47°37'W,,,882,
3,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTE ALTA (GAMA)/DF,990.00,15°93'S,48°13'W,,,882,
4,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANIA/GO,770.00,16°38'S,49°13'W,,,977,
5,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORRINHOS/GO,771.42,17°43'S,49°06'W,,,1032,
6,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NIQUELANDIA/GO,583.00,14°27'S,48°27'W,,,1040,
7,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO SIMÃO/GO,488.51,18°58'S,50°37'W,,,1105,
8,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LUZIANIA/GO,958.00,16°16'S,47°57'W,,,1017,
9,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGARÇAS/GO,347.00,15°54'S,52°14'W,,,905,
10,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIÁS/GO,512.00,15°56'S,50°08'W,,,979,
11,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPACI/GO,522.00,14°58'S,49°32'W,,,1001,
12,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JATAÍ/GO,582.00,17°55'S,51°43'W,,,1010,
13,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE POSSE/GO,834.00,14°05'S,46°21'W,,,1074,
14,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANESIA/GO,667.00,15°13'S,48°59'W,,,976,
15,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAIAPÔNIA/GO,737.00,16°58'S,51°49'W,,,929,
16,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO PARAISO GOIAS/GO,1260.00,14°07'S,47°31'W,,,893,
17,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO VERDE/GO,782.00,17°47'S,50°57'W,,,1080,
18,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MINEIROS/GO,706.00,17°34'S,52°35'W,,,1026,
19,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARAUNA/GO,678.00,16°57'S,50°25'W,,,1061,
20,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPORA/GO,625.00,16°25'S,51°08'W,,,995,
21,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTE ALEGRE GOIAS/GO,1253.00,13°14'S,46°53'W,,,1028,
22,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIRES DO RIO/GO,752.00,17°18'S,48°16'W,,,1068,
23,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CATALÃO/GO,890.00,18°09'S,47°55'W,,,941,
24,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITUMBIARA/GO,488.00,18°24'S,49°11'W,,,1006,
25,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRISTALINA/GO,1202.00,16°47'S,47°36'W,,,953,
26,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SILVANIA/GO,949.00,16°40'S,48°37'W,,,1108,
27,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CPº. GRANDE/MS,530.00,20°27'S,54°36'W,,,1505,
28,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTA PORÃ/MS,650.00,22°32'S,55°32'W,,,1546,
29,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TRES LAGOAS/MS,313.00,20°46'S,51°42'W,,,1562,
30,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IVINHEMA/MS,373.29,22°18'S,53°49'W,,,1527,
31,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANAIBA/MS,424.00,19°41'S,51°10'W,,,1543,
32,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NHUMIRIM/MS,104.00,18°58'S,56°39'W,,,1511,
33,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AQUIDAUANA/MS,155.00,20°28'S,55°47'W,,,1494,
34,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COXIM/MS,252.00,18°30'S,54°44'W,,,1513,
35,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DOURADOS/MS,469.00,22°11'S,54°54'W,,,1517,
36,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MIRANDA/MS,140.00,20°23'S,56°25'W,,,1536,
37,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO MURTINHO/MS,85.00,21°42'S,57°33'W,,,1547,
38,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORUMBÁ/MS,126.00,18°59'S,57°38'W,,,1511,
39,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADÃO DO SUL/MS,818.00,18°48'S,52°36'W,,,1508,
40,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARACAJU/MS,401.00,21°36'S,55°10'W,,,1535,
41,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. GABRIEL DO OESTE/MS,647.00,19°25'S,54°33'W,,,1554,
42,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CASSILANDIA/MS,516.00,19°07'S,51°43'W,,,1507,
43,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO BRILHANTE/MS,329.00,21°46'S,54°31'W,,,1549,
44,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUTI/MS,379.00,22°51'S,54°36'W,,,1532,
45,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMAMBAI/MS,431.00,23°00'S,55°19'W,,,1488,
46,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SETE QUEDAS/MS,402.00,23°58'S,55°01'W,,,1556,
47,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAQUIRAI/MS,336.00,23°26'S,54°10'W,,,1526,
48,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SIDROLANDIA/MS,464.00,20°58'S,54°58'W,,,1557,
49,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÁGUA CLARA/MS,338.00,20°26'S,52°52'W,,,1486,
50,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELA VISTA/MS,208.00,22°06'S,56°32'W,,,1499,
51,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JARDIM/MS,249.00,21°28'S,56°08'W,,,1530,
52,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BATAGUASSU/MS,387.00,21°45'S,52°28'W,,,1497,
53,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COSTA RICA/MS,730.00,18°29'S,53°10'W,,,1512,
54,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SONORA/MS,495.00,17°38'S,54°45'W,,,1558,
55,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CUIABÁ/MT,151.34,15°37'S,56°06'W,,,1383,
56,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TANGARÁ DA SERRA/MT,321.50,14°39'S,57°25'W,,,1475,
57,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.J.DO RIO CLARO/MT,350.00,13°27'S,56°39'W,,,1466,
58,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SORRISO/MT,380.00,12°33'S,55°43'W,,,1473,
59,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CPº NOVO DOS PARECIS/MT,570.00,13°47'S,57°50'W,,,1367,
60,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARANTÃ DO NORTE/MT,320.00,09°57'S,54°53'W,,,1393,
61,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RONDONÓPOLIS/MT,284.00,16°27'S,54°34'W,,,1454,
62,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÁGUA BOA/MT,432.00,14°00'S,52°12'W,,,1347,
63,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO ARAGUAIA/MT,753.00,17°33'S,53°22'W,,,1349,
64,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE APIACAS/MT,220.00,09°33'S,57°23'W,,,1354,
65,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPO VERDE/MT,749.00,15°31'S,55°08'W,,,1368,
66,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COMODORO/MT,591.00,13°42'S,59°45'W,,,1379,
